Warning: 82456_tessera_y-2024.tif has shape (128, 128, 116), expected (128, 128, 128), skipping.
Warning: 60068_tessera_y-2024.tif has shape (128, 109, 128), expected (128, 128, 128), skipping.
Warning: 12190_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 56885_tessera_y-2024.tif has shape (128, 94, 128), expected (128, 128, 128), skipping.
Warning: 70449_tessera_y-2024.tif has shape (128, 115, 128), expected (128, 128, 128), skipping.
Warning: 47658_tessera_y-2024.tif has shape (128, 128, 90), expected (128, 128, 128), skipping.
Warning: 98077_tessera_y-2024.tif has shape (128, 128, 97), expected (128, 128, 128), skipping.
Warning: 30012_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 23548_tessera_y-2024.tif has shape (128, 90, 128), expected (128, 128, 128), skipping.
Warning: 83366_tessera_y-2024.tif has shape (128, 128, 103), expected (128, 128, 128), skipping.
Warning: 99350_tessera_y-2024.tif has shape (128, 123, 122), expected (128, 128, 128), skipping.
Warning: 25350_tessera_y-2024.tif has shape (128, 117, 128), expected (128, 128, 128), skipping.
Warning: 9796_tessera_y-2024.tif has shape (128, 91, 128), expected (128, 128, 128), skipping.
Warning: 72124_tessera_y-2024.tif has shape (128, 128, 127), expected (128, 128, 128), skipping.
Warning: 29886_tessera_y-2024.tif has shape (128, 128, 111), expected (128, 128, 128), skipping.
Warning: 94123_tessera_y-2024.tif has shape (128, 127, 128), expected (128, 128, 128), skipping.
Warning: 52954_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 57212_tessera_y-2024.tif has shape (128, 128, 122), expected (128, 128, 128), skipping.
Warning: 27001_tessera_y-2024.tif has shape (128, 128, 90), expected (128, 128, 128), skipping.
Warning: 49758_tessera_y-2024.tif has shape (128, 115, 113), expected (128, 128, 128), skipping.
Warning: 22636_tessera_y-2024.tif has shape (128, 109, 128), expected (128, 128, 128), skipping.
Warning: 48282_tessera_y-2024.tif has shape (128, 128, 112), expected (128, 128, 128), skipping.
Warning: 52597_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 33720_tessera_y-2024.tif has shape (128, 112, 128), expected (128, 128, 128), skipping.
Warning: 82892_tessera_y-2024.tif has shape (128, 128, 116), expected (128, 128, 128), skipping.
Warning: 37237_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 4217_tessera_y-2024.tif has shape (128, 128, 120), expected (128, 128, 128), skipping.
Warning: 98083_tessera_y-2024.tif has shape (128, 128, 92), expected (128, 128, 128), skipping.
Warning: 90349_tessera_y-2024.tif has shape (128, 99, 128), expected (128, 128, 128), skipping.
Warning: 11151_tessera_y-2024.tif has shape (128, 114, 128), expected (128, 128, 128), skipping.
Warning: 36264_tessera_y-2024.tif has shape (128, 110, 128), expected (128, 128, 128), skipping.
Warning: 97463_tessera_y-2024.tif has shape (128, 128, 96), expected (128, 128, 128), skipping.
Warning: 77376_tessera_y-2024.tif has shape (128, 128, 86), expected (128, 128, 128), skipping.
Warning: 90453_tessera_y-2024.tif has shape (128, 97, 128), expected (128, 128, 128), skipping.
Warning: 29608_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 38934_tessera_y-2024.tif has shape (128, 106, 128), expected (128, 128, 128), skipping.
Warning: 73299_tessera_y-2024.tif has shape (128, 87, 128), expected (128, 128, 128), skipping.
Warning: 21098_tessera_y-2024.tif has shape (128, 119, 128), expected (128, 128, 128), skipping.
Warning: 77668_tessera_y-2024.tif has shape (128, 84, 128), expected (128, 128, 128), skipping.
Warning: 34800_tessera_y-2024.tif has shape (128, 113, 128), expected (128, 128, 128), skipping.
Warning: 76112_tessera_y-2024.tif has shape (128, 117, 97), expected (128, 128, 128), skipping.
Warning: 36899_tessera_y-2024.tif has shape (128, 128, 103), expected (128, 128, 128), skipping.
Warning: 3857_tessera_y-2024.tif has shape (128, 114, 128), expected (128, 128, 128), skipping.
Warning: 40623_tessera_y-2024.tif has shape (128, 128, 83), expected (128, 128, 128), skipping.
Warning: 17144_tessera_y-2024.tif has shape (128, 128, 111), expected (128, 128, 128), skipping.
Warning: 48102_tessera_y-2024.tif has shape (128, 114, 128), expected (128, 128, 128), skipping.
Warning: 38062_tessera_y-2024.tif has shape (128, 127, 128), expected (128, 128, 128), skipping.
Warning: 16643_tessera_y-2024.tif has shape (128, 128, 92), expected (128, 128, 128), skipping.
Warning: 20924_tessera_y-2024.tif has shape (128, 127, 128), expected (128, 128, 128), skipping.
Warning: 85078_tessera_y-2024.tif has shape (128, 113, 128), expected (128, 128, 128), skipping.
Warning: 98799_tessera_y-2024.tif has shape (128, 101, 128), expected (128, 128, 128), skipping.
Warning: 2235_tessera_y-2024.tif has shape (128, 106, 128), expected (128, 128, 128), skipping.
Warning: 51639_tessera_y-2024.tif has shape (128, 128, 97), expected (128, 128, 128), skipping.
Warning: 66104_tessera_y-2024.tif has shape (128, 128, 104), expected (128, 128, 128), skipping.
Warning: 46303_tessera_y-2024.tif has shape (128, 105, 128), expected (128, 128, 128), skipping.
Warning: 3535_tessera_y-2024.tif has shape (128, 128, 115), expected (128, 128, 128), skipping.
Warning: 91809_tessera_y-2024.tif has shape (128, 128, 90), expected (128, 128, 128), skipping.
Warning: 65964_tessera_y-2024.tif has shape (128, 128, 117), expected (128, 128, 128), skipping.
Warning: 71188_tessera_y-2024.tif has shape (128, 99, 128), expected (128, 128, 128), skipping.
Warning: 55510_tessera_y-2024.tif has shape (128, 128, 126), expected (128, 128, 128), skipping.
Warning: 10770_tessera_y-2024.tif has shape (128, 128, 96), expected (128, 128, 128), skipping.
Warning: 34816_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 70398_tessera_y-2024.tif has shape (128, 128, 122), expected (128, 128, 128), skipping.
Warning: 16161_tessera_y-2024.tif has shape (128, 85, 128), expected (128, 128, 128), skipping.
Warning: 20528_tessera_y-2024.tif has shape (128, 128, 85), expected (128, 128, 128), skipping.
Warning: 64009_tessera_y-2024.tif has shape (128, 128, 116), expected (128, 128, 128), skipping.
Warning: 32959_tessera_y-2024.tif has shape (128, 128, 119), expected (128, 128, 128), skipping.
Warning: 5217_tessera_y-2024.tif has shape (128, 81, 128), expected (128, 128, 128), skipping.
Warning: 20011_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 55041_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 8335_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 13875_tessera_y-2024.tif has shape (128, 128, 101), expected (128, 128, 128), skipping.
Warning: 96325_tessera_y-2024.tif has shape (128, 118, 128), expected (128, 128, 128), skipping.
Warning: 25846_tessera_y-2024.tif has shape (128, 88, 128), expected (128, 128, 128), skipping.
Warning: 7882_tessera_y-2024.tif has shape (128, 128, 116), expected (128, 128, 128), skipping.
Warning: 69041_tessera_y-2024.tif has shape (128, 114, 128), expected (128, 128, 128), skipping.
Warning: 55571_tessera_y-2024.tif has shape (128, 128, 124), expected (128, 128, 128), skipping.
Warning: 40785_tessera_y-2024.tif has shape (128, 128, 84), expected (128, 128, 128), skipping.
Warning: 49418_tessera_y-2024.tif has shape (128, 128, 115), expected (128, 128, 128), skipping.
Warning: 71167_tessera_y-2024.tif has shape (128, 128, 94), expected (128, 128, 128), skipping.
Warning: 64651_tessera_y-2024.tif has shape (128, 108, 128), expected (128, 128, 128), skipping.
Warning: 80293_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 13403_tessera_y-2024.tif has shape (128, 128, 94), expected (128, 128, 128), skipping.
Warning: 62508_tessera_y-2024.tif has shape (128, 128, 113), expected (128, 128, 128), skipping.
Warning: 2791_tessera_y-2024.tif has shape (128, 126, 128), expected (128, 128, 128), skipping.
Warning: 37327_tessera_y-2024.tif has shape (128, 128, 94), expected (128, 128, 128), skipping.
Warning: 8904_tessera_y-2024.tif has shape (128, 128, 88), expected (128, 128, 128), skipping.
Warning: 76203_tessera_y-2024.tif has shape (128, 128, 126), expected (128, 128, 128), skipping.
Warning: 47075_tessera_y-2024.tif has shape (128, 128, 102), expected (128, 128, 128), skipping.
Warning: 30298_tessera_y-2024.tif has shape (128, 128, 124), expected (128, 128, 128), skipping.
Warning: 98530_tessera_y-2024.tif has shape (128, 128, 107), expected (128, 128, 128), skipping.
Warning: 73579_tessera_y-2024.tif has shape (128, 128, 118), expected (128, 128, 128), skipping.
Warning: 91576_tessera_y-2024.tif has shape (128, 128, 99), expected (128, 128, 128), skipping.
Warning: 71502_tessera_y-2024.tif has shape (128, 128, 122), expected (128, 128, 128), skipping.
Warning: 37088_tessera_y-2024.tif has shape (128, 96, 128), expected (128, 128, 128), skipping.
Warning: 91337_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 46354_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 57935_tessera_y-2024.tif has shape (128, 88, 128), expected (128, 128, 128), skipping.
Warning: 34614_tessera_y-2024.tif has shape (128, 127, 128), expected (128, 128, 128), skipping.
Warning: 93556_tessera_y-2024.tif has shape (128, 121, 128), expected (128, 128, 128), skipping.
Warning: 97506_tessera_y-2024.tif has shape (128, 128, 123), expected (128, 128, 128), skipping.
Warning: 73695_tessera_y-2024.tif has shape (128, 128, 121), expected (128, 128, 128), skipping.
Warning: 92554_tessera_y-2024.tif has shape (128, 128, 90), expected (128, 128, 128), skipping.
Warning: 712_tessera_y-2024.tif has shape (128, 128, 83), expected (128, 128, 128), skipping.
Warning: 94541_tessera_y-2024.tif has shape (128, 116, 128), expected (128, 128, 128), skipping.
Warning: 97033_tessera_y-2024.tif has shape (128, 89, 128), expected (128, 128, 128), skipping.
Warning: 24032_tessera_y-2024.tif has shape (128, 88, 128), expected (128, 128, 128), skipping.
Warning: 14048_tessera_y-2024.tif has shape (128, 128, 85), expected (128, 128, 128), skipping.
Warning: 25691_tessera_y-2024.tif has shape (128, 90, 128), expected (128, 128, 128), skipping.
Warning: 21149_tessera_y-2024.tif has shape (128, 97, 128), expected (128, 128, 128), skipping.
Warning: 85951_tessera_y-2024.tif has shape (128, 81, 128), expected (128, 128, 128), skipping.
Warning: 8504_tessera_y-2024.tif has shape (128, 98, 128), expected (128, 128, 128), skipping.
Warning: 96513_tessera_y-2024.tif has shape (128, 128, 93), expected (128, 128, 128), skipping.
Warning: 4620_tessera_y-2024.tif has shape (128, 108, 128), expected (128, 128, 128), skipping.
Warning: 6029_tessera_y-2024.tif has shape (128, 128, 117), expected (128, 128, 128), skipping.
Warning: 51396_tessera_y-2024.tif has shape (128, 116, 128), expected (128, 128, 128), skipping.
Warning: 67332_tessera_y-2024.tif has shape (128, 128, 112), expected (128, 128, 128), skipping.
Warning: 99870_tessera_y-2024.tif has shape (128, 104, 128), expected (128, 128, 128), skipping.
Warning: 44312_tessera_y-2024.tif has shape (128, 128, 120), expected (128, 128, 128), skipping.
Warning: 67098_tessera_y-2024.tif has shape (128, 93, 128), expected (128, 128, 128), skipping.
Warning: 88602_tessera_y-2024.tif has shape (128, 128, 124), expected (128, 128, 128), skipping.
Warning: 23664_tessera_y-2024.tif has shape (128, 128, 111), expected (128, 128, 128), skipping.
Warning: 28763_tessera_y-2024.tif has shape (128, 128, 119), expected (128, 128, 128), skipping.
Warning: 51591_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 96520_tessera_y-2024.tif has shape (128, 89, 128), expected (128, 128, 128), skipping.
Warning: 29241_tessera_y-2024.tif has shape (128, 118, 128), expected (128, 128, 128), skipping.
Warning: 99497_tessera_y-2024.tif has shape (128, 125, 128), expected (128, 128, 128), skipping.
Warning: 79405_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 64112_tessera_y-2024.tif has shape (128, 128, 91), expected (128, 128, 128), skipping.
Warning: 79917_tessera_y-2024.tif has shape (128, 128, 100), expected (128, 128, 128), skipping.
Warning: 33076_tessera_y-2024.tif has shape (128, 128, 99), expected (128, 128, 128), skipping.
Warning: 68110_tessera_y-2024.tif has shape (128, 128, 117), expected (128, 128, 128), skipping.
Warning: 85313_tessera_y-2024.tif has shape (128, 113, 128), expected (128, 128, 128), skipping.
Warning: 8208_tessera_y-2024.tif has shape (128, 128, 107), expected (128, 128, 128), skipping.
Warning: 53457_tessera_y-2024.tif has shape (128, 95, 128), expected (128, 128, 128), skipping.
Warning: 55802_tessera_y-2024.tif has shape (128, 116, 128), expected (128, 128, 128), skipping.
Warning: 70139_tessera_y-2024.tif has shape (128, 128, 101), expected (128, 128, 128), skipping.
Warning: 89268_tessera_y-2024.tif has shape (128, 103, 128), expected (128, 128, 128), skipping.
Warning: 10502_tessera_y-2024.tif has shape (128, 128, 82), expected (128, 128, 128), skipping.
Warning: 18599_tessera_y-2024.tif has shape (128, 128, 124), expected (128, 128, 128), skipping.
Warning: 46237_tessera_y-2024.tif has shape (128, 124, 128), expected (128, 128, 128), skipping.
Warning: 14517_tessera_y-2024.tif has shape (128, 128, 126), expected (128, 128, 128), skipping.
Warning: 54736_tessera_y-2024.tif has shape (128, 122, 128), expected (128, 128, 128), skipping.
Warning: 66216_tessera_y-2024.tif has shape (128, 128, 105), expected (128, 128, 128), skipping.
Warning: 97553_tessera_y-2024.tif has shape (128, 125, 128), expected (128, 128, 128), skipping.
Warning: 35656_tessera_y-2024.tif has shape (128, 128, 108), expected (128, 128, 128), skipping.
Warning: 73117_tessera_y-2024.tif has shape (128, 120, 128), expected (128, 128, 128), skipping.
Warning: 17682_tessera_y-2024.tif has shape (128, 128, 85), expected (128, 128, 128), skipping.
Warning: 99848_tessera_y-2024.tif has shape (128, 122, 128), expected (128, 128, 128), skipping.
Warning: 33945_tessera_y-2024.tif has shape (128, 125, 128), expected (128, 128, 128), skipping.
